,Precio (Euros/Mes),Habitaciones,Tamanyo (m2),Euros/m2
0,1200,3 hab.,170,7.06
1,700,3 hab.,115,6.09
2,500,3 hab.,70,7.14
3,600,3 hab.,110,5.45
4,800,3 hab.,100,8.0
5,950,3 hab.,150,6.33
6,700,1 hab.,70,10.0
7,2200,5 hab.,370,5.95
8,600,2 hab.,100,6.0
9,1050,3 hab.,130,8.08
10,1000,4 hab.,180,5.56
11,800,4 hab.,120,6.67
12,570,3 hab.,90,6.33
13,1200,3 hab.,140,8.57
14,490,3 hab.,75,6.53
15,1000,3 hab.,120,8.33
16,820,2 hab.,92,8.91
17,800,3 hab.,100,8.0
18,1100,3 hab.,110,10.0
19,630,,37,17.03
20,750,2 hab.,100,7.5
21,420,3 hab.,70,6.0
22,1250,3 hab.,140,8.93
23,500,3 hab.,70,7.14
24,1200,3 hab.,112,10.71
25,700,3 hab.,80,8.75
26,1500,4 hab.,285,5.26
27,520,3 hab.,90,5.78
28,480,3 hab.,85,5.65
29,1000,3 hab.,80,12.5
30,545,1 hab.,53,10.28
31,480,3 hab.,85,5.65
32,1200,2 hab.,105,11.43
33,650,3 hab.,97,6.7
34,800,2 hab.,80,10.0
35,1000,4 hab.,180,5.56
36,1300,3 hab.,110,11.82
37,480,1 hab.,50,9.6
38,950,3 hab.,140,6.79
39,1300,2 hab.,174,7.47
40,750,4 hab.,185,4.05
41,2500,4 hab.,136,18.38
42,1350,2 hab.,100,13.5
43,1200,3 hab.,135,8.89
44,850,2 hab.,67,12.69
45,2200,5 hab.,280,7.86
46,899,3 hab.,84,10.7
47,580,1 hab.,75,7.73
48,2000,3 hab.,172,11.63
49,1500,4 hab.,324,4.63
50,1800,4 hab.,336,5.36
51,900,2 hab.,70,12.86
52,1400,4 hab.,155,9.03
53,850,3 hab.,123,6.91
54,1300,2 hab.,157,8.28
55,650,1 hab.,74,8.78
56,970,4 hab.,160,6.06
57,1100,4 hab.,109,10.09
58,2300,4 hab.,157,14.65
59,1000,4 hab.,148,6.76
60,1000,3 hab.,102,9.8
61,800,3 hab.,125,6.4
62,750,4 hab.,150,5.0
63,850,4 hab.,110,7.73
64,800,2 hab.,85,9.41
65,700,3 hab.,130,5.38
66,2200,4 hab.,600,3.67
67,1800,5 hab.,360,5.0
68,700,2 hab.,80,8.75
69,1200,2 hab.,90,13.33
70,2000,3 hab.,174,11.49
71,545,3 hab.,78,6.99
72,625,3 hab.,91,6.87
73,560,3 hab.,81,6.91
74,560,3 hab.,89,6.29
75,1000,2 hab.,90,11.11
76,1800,4 hab.,200,9.0
77,2000,3 hab.,200,10.0
78,1100,3 hab.,110,10.0
79,700,3 hab.,104,6.73
80,2000,5 hab.,200,10.0
81,1500,4 hab.,254,5.91
82,1500,3 hab.,130,11.54
83,650,1 hab.,92,7.07
84,1700,4 hab.,200,8.5
85,1600,3 hab.,160,10.0
86,1600,3 hab.,115,13.91
87,1400,3 hab.,345,4.06
88,3500,7 hab.,550,6.36
89,1150,4 hab.,200,5.75
90,1000,3 hab.,95,10.53
91,1800,4 hab.,350,5.14
92,1800,4 hab.,165,10.91
93,520,3 hab.,87,5.98
94,700,4 hab.,140,5.0
95,440,2 hab.,65,6.77
96,450,2 hab.,62,7.26
97,700,3 hab.,130,5.38
98,950,3 hab.,110,8.64
99,1300,3 hab.,110,11.82
100,550,,37,14.86
101,1500,4 hab.,300,5.0
102,1000,3 hab.,160,6.25
103,1800,11 hab.,240,7.5
104,875,3 hab.,115,7.61
105,1400,3 hab.,130,10.77
106,1700,4 hab.,220,7.73
107,1200,3 hab.,130,9.23
108,1300,3 hab.,115,11.3
109,1800,2 hab.,160,11.25
110,900,3 hab.,158,5.7
111,800,2 hab.,90,8.89
112,1500,4 hab.,125,12.0
113,750,2 hab.,103,7.28
114,875,3 hab.,109,8.03
115,1300,3 hab.,110,11.82
116,1600,3 hab.,130,12.31
117,1600,3 hab.,130,12.31
118,1200,3 hab.,145,8.28
119,2200,4 hab.,199,11.06
120,950,3 hab.,130,7.31
121,1700,4 hab.,330,5.15
122,1950,3 hab.,100,19.5
123,1250,5 hab.,150,8.33
124,2000,4 hab.,110,18.18
125,565,3 hab.,89,6.35
126,560,3 hab.,89,6.29
127,560,3 hab.,89,6.29
128,560,3 hab.,81,6.91
129,560,3 hab.,85,6.59
130,560,3 hab.,85,6.59
131,555,3 hab.,87,6.38
132,625,3 hab.,91,6.87
133,560,3 hab.,88,6.36
134,535,3 hab.,80,6.69
135,565,3 hab.,89,6.35
136,560,3 hab.,89,6.29
137,545,3 hab.,78,6.99
138,595,3 hab.,89,6.69
139,515,3 hab.,79,6.52
140,750,3 hab.,108,6.94
141,1200,3 hab.,220,5.45
142,1100,3 hab.,117,9.4
143,550,3 hab.,120,4.58
144,1800,2 hab.,120,15.0
145,750,3 hab.,120,6.25
146,1100,3 hab.,150,7.33
147,850,3 hab.,118,7.2
148,425,3 hab.,41,10.37
149,900,4 hab.,125,7.2
150,800,2 hab.,90,8.89
151,890,3 hab.,150,5.93
152,1300,4 hab.,294,4.42
153,600,2 hab.,87,6.9
154,650,,70,9.29
155,550,1 hab.,74,7.43
156,650,1 hab.,60,10.83
157,730,3 hab.,115,6.35
158,1000,2 hab.,90,11.11
159,1800,3 hab.,180,10.0
160,900,3 hab.,99,9.09
161,1500,3 hab.,120,12.5
162,670,2 hab.,75,8.93
163,750,2 hab.,87,8.62
164,490,3 hab.,85,5.76
165,1200,3 hab.,130,9.23
166,1200,4 hab.,130,9.23
167,1500,4 hab.,312,4.81
168,900,3 hab.,128,7.03
169,550,2 hab.,65,8.46
170,550,1 hab.,61,9.02
171,600,3 hab.,100,6.0
172,1800,5 hab.,320,5.62
173,1750,3 hab.,154,11.36
174,1100,2 hab.,110,10.0
175,1300,2 hab.,250,5.2
176,1800,4 hab.,255,7.06
177,2100,5 hab.,430,4.88
178,550,1 hab.,68,8.09
179,570,4 hab.,110,5.18
180,2200,4 hab.,340,6.47
181,2500,4 hab.,300,8.33
182,890,4 hab.,140,6.36
183,1200,2 hab.,86,13.95
184,900,3 hab.,110,8.18
185,875,3 hab.,109,8.03
186,1700,4 hab.,300,5.67
187,1500,4 hab.,300,5.0
188,950,3 hab.,128,7.42
189,1500,4 hab.,260,5.77
190,950,3 hab.,127,7.48
191,1200,3 hab.,102,11.76
192,925,2 hab.,75,12.33
193,1400,4 hab.,240,5.83
194,450,2 hab.,75,6.0
195,750,3 hab.,100,7.5
196,1200,4 hab.,235,5.11
197,1200,4 hab.,190,6.32
198,1300,3 hab.,100,13.0
199,650,2 hab.,65,10.0
200,1200,4 hab.,220,5.45
201,1850,4 hab.,180,10.28
202,1100,4 hab.,150,7.33
203,600,3 hab.,85,7.06
204,680,3 hab.,125,5.44
205,1400,3 hab.,95,14.74
206,950,1 hab.,85,11.18
207,1250,5 hab.,170,7.35
208,575,3 hab.,100,5.75
209,875,3 hab.,140,6.25
210,585,2 hab.,98,5.97
211,475,1 hab.,55,8.64
212,900,3 hab.,106,8.49
213,750,2 hab.,215,3.49
214,1400,4 hab.,155,9.03
215,950,4 hab.,160,5.94
216,1800,5 hab.,270,6.67
217,2100,3 hab.,170,12.35
218,850,3 hab.,118,7.2
219,600,2 hab.,95,6.32
220,1200,3 hab.,200,6.0
221,600,3 hab.,80,7.5
222,1150,3 hab.,126,9.13
223,1400,3 hab.,285,4.91
224,595,3 hab.,89,6.69
225,565,3 hab.,89,6.35
226,535,3 hab.,80,6.69
227,560,3 hab.,88,6.36
228,560,3 hab.,85,6.59
229,550,3 hab.,79,6.96
230,650,3 hab.,90,7.22
231,405,2 hab.,60,6.75
232,590,4 hab.,130,4.54
233,555,3 hab.,89,6.24
234,1200,4 hab.,200,6.0
235,1100,2 hab.,120,9.17
236,1300,3 hab.,110,11.82
237,2300,4 hab.,187,12.3
238,975,2 hab.,75,13.0
239,800,3 hab.,100,8.0
240,900,1 hab.,55,16.36
241,1000,1 hab.,82,12.2
242,1200,2 hab.,126,9.52
243,1200,3 hab.,178,6.74
244,950,2 hab.,70,13.57
245,900,3 hab.,135,6.67
246,1000,2 hab.,62,16.13
247,850,2 hab.,72,11.81
248,1000,2 hab.,82,12.2
249,1500,3 hab.,152,9.87
250,1000,2 hab.,82,12.2
251,1000,2 hab.,95,10.53
252,1220,3 hab.,115,10.61
253,600,2 hab.,65,9.23
254,670,3 hab.,100,6.7
255,950,4 hab.,160,5.94
256,400,3 hab.,64,6.25
257,825,3 hab.,128,6.45
258,750,4 hab.,130,5.77
259,750,3 hab.,110,6.82
260,950,3 hab.,150,6.33
261,550,2 hab.,70,7.86
262,600,3 hab.,90,6.67
263,500,,40,12.5
264,500,,30,16.67
265,780,2 hab.,90,8.67
266,750,4 hab.,138,5.43
267,550,2 hab.,85,6.47
268,1800,2 hab.,116,15.52
269,950,3 hab.,122,7.79
270,850,3 hab.,100,8.5
271,890,2 hab.,100,8.9
272,1750,3 hab.,200,8.75
273,865,4 hab.,129,6.71
274,850,3 hab.,100,8.5
275,725,3 hab.,110,6.59
276,750,2 hab.,100,7.5
277,1200,2 hab.,95,12.63
278,1300,3 hab.,114,11.4
279,1400,2 hab.,151,9.27
280,1300,6 hab.,175,7.43
281,1600,3 hab.,140,11.43
282,1800,2 hab.,140,12.86
283,650,3 hab.,85,7.65
284,775,2 hab.,85,9.12
285,700,3 hab.,160,4.38
286,1300,4 hab.,120,10.83
287,1800,4 hab.,220,8.18
288,1600,3 hab.,157,10.19
289,1300,3 hab.,150,8.67
290,1100,3 hab.,110,10.0
291,1400,3 hab.,94,14.89
292,1750,5 hab.,300,5.83
293,1300,2 hab.,120,10.83
294,550,1 hab.,60,9.17
295,850,4 hab.,108,7.87
296,900,4 hab.,143,6.29
297,650,4 hab.,128,5.08
298,700,4 hab.,139,5.04
299,575,3 hab.,82,7.01
300,900,2 hab.,117,7.69
301,550,1 hab.,80,6.88
302,480,3 hab.,95,5.05
303,800,2 hab.,95,8.42
304,550,2 hab.,80,6.88
305,800,3 hab.,95,8.42
306,2250,2 hab.,80,28.12
307,1850,4 hab.,173,10.69
308,1300,4 hab.,150,8.67
309,800,4 hab.,130,6.15
310,800,3 hab.,130,6.15
311,650,1 hab.,79,8.23
312,875,3 hab.,150,5.83
313,1000,3 hab.,160,6.25
314,1200,2 hab.,135,8.89
315,1000,3 hab.,120,8.33
316,1300,4 hab.,280,4.64
317,1000,4 hab.,140,7.14
318,1300,2 hab.,137,9.49
319,2200,3 hab.,120,18.33
320,600,2 hab.,60,10.0
321,1500,4 hab.,260,5.77
322,1400,5 hab.,180,7.78
323,1000,4 hab.,140,7.14
324,1200,4 hab.,130,9.23
325,950,3 hab.,95,10.0
326,650,3 hab.,73,8.9
327,950,3 hab.,90,10.56
328,900,3 hab.,120,7.5
329,955,2 hab.,119,8.03
330,565,3 hab.,95,5.95
331,525,3 hab.,80,6.56
332,555,3 hab.,87,6.38
333,560,3 hab.,80,7.0
334,565,3 hab.,84,6.73
335,565,3 hab.,93,6.08
336,900,3 hab.,135,6.67
337,800,4 hab.,280,2.86
338,1300,2 hab.,95,13.68
339,800,3 hab.,120,6.67
340,1200,4 hab.,140,8.57
341,1600,3 hab.,130,12.31
342,700,3 hab.,90,7.78
343,1200,3 hab.,137,8.76
344,1150,4 hab.,160,7.19
345,1200,4 hab.,150,8.0
346,850,5 hab.,145,5.86
347,1200,3 hab.,95,12.63
348,1200,2 hab.,120,10.0
349,1200,2 hab.,53,22.64
350,1300,4 hab.,200,6.5
351,575,1 hab.,45,12.78
352,700,2 hab.,70,10.0
353,590,1 hab.,55,10.73
354,1000,3 hab.,160,6.25
355,750,3 hab.,159,4.72
356,650,2 hab.,71,9.15
357,2200,4 hab.,334,6.59
358,850,3 hab.,102,8.33
359,1200,2 hab.,128,9.38
360,1100,4 hab.,120,9.17
361,650,1 hab.,75,8.67
362,950,2 hab.,107,8.88
363,1900,5 hab.,300,6.33
364,555,3 hab.,89,6.24
365,405,2 hab.,60,6.75
366,1300,5 hab.,285,4.56
367,1000,3 hab.,115,8.7
368,1000,4 hab.,165,6.06
369,690,3 hab.,110,6.27
370,600,1 hab.,52,11.54
371,1100,2 hab.,105,10.48
372,515,2 hab.,70,7.36
373,850,2 hab.,145,5.86
374,650,1 hab.,70,9.29
375,980,2 hab.,75,13.07
376,1200,3 hab.,125,9.6
